K+ : ( 2.00934 , ( -1.5096 , 1.18037 , 0.34869 ) )
pi- : ( 4.36308 , ( 1.5096 , -1.18037 , -3.91724 ) )
K+ : ( 2.21114 , ( 0.645899 , -2.05623 , -0.0116619 ) )
pi- : ( 4.16128 , ( -0.645899 , 2.05623 , -3.55689 ) )
K+ : ( 1.75674 , ( 0.480303 , 1.40433 , 0.799755 ) )
pi- : ( 4.61567 , ( -0.480303 , -1.40433 , -4.36831 ) )
K+ : ( 3.7943 , ( 0.282149 , -2.45254 , -2.83873 ) )
pi- : ( 2.57812 , ( -0.282149 , 2.45254 , -0.729821 ) )
K+ : ( 3.99737 , ( -2.20895 , -0.779159 , -3.20135 ) )
pi- : ( 2.37505 , ( 2.20895 , 0.779159 , -0.3672 ) )
K+ : ( 3.29174 , ( -1.80158 , -1.89142 , -1.9413 ) )
pi- : ( 3.08068 , ( 1.80158 , 1.89142 , -1.62725 ) )
K+ : ( 3.6898 , ( -2.50844 , -0.211713 , -2.65213 ) )
pi- : ( 2.68261 , ( 2.50844 , 0.211713 , -0.91642 ) )
K+ : ( 1.61329 , ( 0.964277 , -0.560542 , 1.05592 ) )
pi- : ( 4.75912 , ( -0.964277 , 0.560542 , -4.62447 ) )
K+ : ( 2.73213 , ( -0.513485 , -2.46369 , -0.941996 ) )
pi- : ( 3.64029 , ( 0.513485 , 2.46369 , -2.62656 ) )
K+ : ( 4.47871 , ( -1.42672 , -1.13522 , -4.06089 ) )
pi- : ( 1.89371 , ( 1.42672 , 1.13522 , 0.492342 ) )
K+ : ( 4.92163 , ( 0.0295871 , 0.661555 , -4.85182 ) )
pi- : ( 1.45079 , ( -0.0295871 , -0.661555 , 1.28327 ) )
K+ : ( 4.49416 , ( 0.600778 , -1.6962 , -4.08849 ) )
pi- : ( 1.87826 , ( -0.600778 , 1.6962 , 0.519932 ) )
K+ : ( 4.42542 , ( -1.5445 , 1.1082 , -3.96573 ) )
pi- : ( 1.947 , ( 1.5445 , -1.1082 , 0.397176 ) )
K+ : ( 4.52046 , ( 1.36254 , 1.11012 , -4.13545 ) )
pi- : ( 1.85195 , ( -1.36254 , -1.11012 , 0.566902 ) )
K+ : ( 1.44824 , ( 0.033961 , 0.168012 , 1.35066 ) )
pi- : ( 4.92418 , ( -0.033961 , -0.168012 , -4.91922 ) )
K+ : ( 3.16613 , ( 1.38827 , -2.21478 , -1.717 ) )
pi- : ( 3.20629 , ( -1.38827 , 2.21478 , -1.85155 ) )
K+ : ( 2.81368 , ( -0.726593 , 2.44176 , -1.08763 ) )
pi- : ( 3.55874 , ( 0.726593 , -2.44176 , -2.48092 ) )
K+ : ( 2.72562 , ( -2.48468 , -0.382136 , -0.930378 ) )
pi- : ( 3.6468 , ( 2.48468 , 0.382136 , -2.63817 ) )
K+ : ( 3.23452 , ( 2.57642 , -0.44507 , -1.83914 ) )
pi- : ( 3.13789 , ( -2.57642 , 0.44507 , -1.72942 ) )
K+ : ( 3.94526 , ( 0.318296 , -2.35764 , -3.1083 ) )
pi- : ( 2.42716 , ( -0.318296 , 2.35764 , -0.460254 ) )
K+ : ( 3.1173 , ( 0.325849 , -2.59064 , -1.62981 ) )
pi- : ( 3.25511 , ( -0.325849 , 2.59064 , -1.93874 ) )
K+ : ( 3.56451 , ( 1.98982 , -1.61416 , -2.4284 ) )
pi- : ( 2.8079 , ( -1.98982 , 1.61416 , -1.14015 ) )
K+ : ( 3.97778 , ( -1.41439 , 1.88482 , -3.16638 ) )
pi- : ( 2.39463 , ( 1.41439 , -1.88482 , -0.402169 ) )
K+ : ( 2.12409 , ( 1.79989 , -1.00388 , 0.143777 ) )
pi- : ( 4.24832 , ( -1.79989 , 1.00388 , -3.71233 ) )
K+ : ( 4.73268 , ( 1.2652 , -0.417011 , -4.51441 ) )
pi- : ( 1.63974 , ( -1.2652 , 0.417011 , 0.945854 ) )
K+ : ( 3.11995 , ( 2.23875 , 1.34412 , -1.63454 ) )
pi- : ( 3.25246 , ( -2.23875 , -1.34412 , -1.93401 ) )
K+ : ( 4.29981 , ( -1.06866 , -1.76191 , -3.74143 ) )
pi- : ( 2.07261 , ( 1.06866 , 1.76191 , 0.172875 ) )
K+ : ( 1.83244 , ( -0.951668 , 1.3292 , 0.664582 ) )
pi- : ( 4.53997 , ( 0.951668 , -1.3292 , -4.23313 ) )
K+ : ( 4.75241 , ( 1.27142 , 0.160805 , -4.54965 ) )
pi- : ( 1.62 , ( -1.27142 , -0.160805 , 0.9811 ) )
K+ : ( 3.36136 , ( 2.40334 , 1.00605 , -2.06562 ) )
pi- : ( 3.01106 , ( -2.40334 , -1.00605 , -1.50293 ) )
K+ : ( 4.13697 , ( 2.19015 , -0.408756 , -3.45065 ) )
pi- : ( 2.23544 , ( -2.19015 , 0.408756 , -0.117902 ) )
K+ : ( 1.79011 , ( 0.920289 , -1.2514 , 0.740173 ) )
pi- : ( 4.58231 , ( -0.920289 , 1.2514 , -4.30873 ) )
K+ : ( 4.03663 , ( -2.24081 , -0.571748 , -3.27148 ) )
pi- : ( 2.33578 , ( 2.24081 , 0.571748 , -0.297078 ) )
K+ : ( 3.65296 , ( 0.162937 , -2.52679 , -2.58635 ) )
pi- : ( 2.71946 , ( -0.162937 , 2.52679 , -0.982208 ) )
K+ : ( 3.16753 , ( -1.29192 , -2.27239 , -1.71951 ) )
pi- : ( 3.20489 , ( 1.29192 , 2.27239 , -1.84905 ) )
K+ : ( 3.10012 , ( 2.53049 , 0.637536 , -1.59913 ) )
pi- : ( 3.2723 , ( -2.53049 , -0.637536 , -1.96943 ) )
K+ : ( 3.43228 , ( 2.36004 , -1.07749 , -2.19227 ) )
pi- : ( 2.94014 , ( -2.36004 , 1.07749 , -1.37628 ) )
K+ : ( 1.68901 , ( -0.240878 , -1.30511 , 0.920712 ) )
pi- : ( 4.68341 , ( 0.240878 , 1.30511 , -4.48926 ) )
K+ : ( 3.97432 , ( -0.169794 , -2.35283 , -3.16021 ) )
pi- : ( 2.39809 , ( 0.169794 , 2.35283 , -0.408347 ) )
K+ : ( 2.71704 , ( -1.52666 , 1.99263 , -0.915062 ) )
pi- : ( 3.65537 , ( 1.52666 , -1.99263 , -2.65349 ) )
K+ : ( 2.54779 , ( 1.22073 , 2.09327 , -0.612819 ) )
pi- : ( 3.82463 , ( -1.22073 , -2.09327 , -2.95573 ) )
K+ : ( 3.42356 , ( 1.89321 , -1.77616 , -2.1767 ) )
pi- : ( 2.94886 , ( -1.89321 , 1.77616 , -1.39185 ) )
K+ : ( 2.04818 , ( -0.951774 , 1.72262 , 0.279341 ) )
pi- : ( 4.32424 , ( 0.951774 , -1.72262 , -3.84789 ) )
K+ : ( 4.16989 , ( 1.72235 , -1.36443 , -3.50943 ) )
pi- : ( 2.20253 , ( -1.72235 , 1.36443 , -0.0591246 ) )
K+ : ( 3.74079 , ( -0.966783 , -2.30002 , -2.74318 ) )
pi- : ( 2.63163 , ( 0.966783 , 2.30002 , -0.825371 ) )
K+ : ( 1.59831 , ( -0.905835 , -0.564062 , 1.08267 ) )
pi- : ( 4.77411 , ( 0.905835 , 0.564062 , -4.65123 ) )
K+ : ( 2.6558 , ( 1.56614 , -1.92552 , -0.805702 ) )
pi- : ( 3.71662 , ( -1.56614 , 1.92552 , -2.76285 ) )
K+ : ( 3.42549 , ( 2.30504 , -1.19333 , -2.18014 ) )
pi- : ( 2.94693 , ( -2.30504 , 1.19333 , -1.38841 ) )
K+ : ( 3.57085 , ( 1.01337 , -2.35119 , -2.43972 ) )
pi- : ( 2.80157 , ( -1.01337 , 2.35119 , -1.12884 ) )
K+ : ( 2.56066 , ( 2.06035 , -1.28995 , -0.635813 ) )
pi- : ( 3.81175 , ( -2.06035 , 1.28995 , -2.93274 ) )
